"Player","Versus","StatGroup","Statistic","Per90","Percentile","BasedOnMinutes","scouting_period"
"Lionel Messi","Att Mid / Wingers","Standard","Aerials won",0,9,360,"2018 FIFA World Cup"
"Lionel Messi","Forwards","Standard","Non-Penalty Goals",0.69,77,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Non-Penalty xG",0.45,53,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Shots Total",5.04,97,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Assists",0.23,66,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","xAG",0.26,88,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","npxG + xAG",0.72,68,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Shot-Creating Actions",5.27,97,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Passes Attempted",60.31,99,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Pass Completion %",77.4,76,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Progressive Passes",6.54,99,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Dribbles Completed",4.24,97,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Touches (Att Pen)",6.31,84,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Progressive Passes Rec",7.57,64,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Tackles",1.03,75,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Interceptions",0.34,60,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Blocks",0.46,40,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Clearances",0,8,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Aerials won",0.23,5,785,"2017-2018 Champions League"
"Lionel Messi","Forwards","Standard","Non-Penalty Goals",0.96,99,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Non-Penalty xG",0.72,97,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Shots Total",5.79,97,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Assists",0.36,95,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","xAG",0.42,99,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","npxG + xAG",1.14,99,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Shot-Creating Actions",7.95,99,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Passes Attempted",59.34,99,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Pass Completion %",78.1,95,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Progressive Passes",7.77,99,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Dribbles Completed",5.55,99,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Touches (Att Pen)",7.47,95,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Progressive Passes Rec",7.23,84,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Tackles",0.51,21,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Interceptions",0.21,29,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Blocks",0.33,12,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Clearances",0,1,3000,"2017-2018 La Liga"
"Lionel Messi","Forwards","Standard","Aerials won",0.24,5,3000,"2017-2018 La Liga"
