"Player","Versus","StatGroup","Statistic","Per90","Percentile","BasedOnMinutes","scouting_period"
"Lionel Messi","Forwards","Standard","Non-Penalty Goals",0.39,65,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Non-Penalty xG",0.35,65,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Shots Total",3.52,89,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Assists",0.39,92,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","xAG",0.33,95,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","npxG + xAG",0.68,83,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Shot-Creating Actions",5.61,98,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Passes Attempted",48.39,95,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Pass Completion %",80.9,89,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Progressive Passes",6.39,98,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Dribbles Completed",1.96,98,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Touches (Att Pen)",4.96,74,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Progressive Passes Rec",4.3,50,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Tackles",0.65,68,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Interceptions",0,26,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Blocks",0.26,17,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Clearances",0,15,690,"2022 World Cup"
"Lionel Messi","Forwards","Standard","Aerials won",0.26,11,690,"2022 World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty Goals",0.25,59,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty xG",0.47,94,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Shots Total",3.72,98,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Assists",0.59,98,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","xAG",0.38,89,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","npxG + xAG",0.86,96,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Shot-Creating Actions",6.52,98,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Passes Attempted",69.27,98,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Pass Completion %",84.5,94,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes",9.45,99,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Dribbles Completed",2.68,89,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Touches (Att Pen)",4.26,76,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes Rec",4.72,31,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Tackles",0.42,3,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Interceptions",0.17,6,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Blocks",0.21,3,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Clearances",0,1,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Aerials won",0.17,13,2153,"2021-2022 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty Goals",0.43,75,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty xG",0.36,77,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Shots Total",3.29,90,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Assists",0,21,630,"2021-2022 Champions League"
