Player,Versus,StatGroup,Statistic,Per90,Percentile,BasedOnMinutes,scouting_period,,Goals
Cristiano Ronaldo,Forwards,Standard,Shot-Creating Actions,3,70,2456,2021-2022 Premier League,,18
Cristiano Ronaldo,Forwards,Standard,Passes Attempted,33.13,81,2456,2021-2022 Premier League,,18
Cristiano Ronaldo,Forwards,Standard,Pass Completion %,80.3,92,2456,2021-2022 Premier League,,18
Cristiano Ronaldo,Forwards,Standard,Progressive Passes,1.39,48,2456,2021-2022 Premier League,,18
Cristiano Ronaldo,Forwards,Standard,Dribbles Completed,0.73,27,2456,2021-2022 Premier League,,18
Cristiano Ronaldo,Forwards,Standard,Touches (Att Pen),6.16,88,2456,2021-2022 Premier League,,18
Cristiano Ronaldo,Forwards,Standard,Progressive Passes Rec,6.6,80,2456,2021-2022 Premier League,,18
Cristiano Ronaldo,Forwards,Standard,Tackles,0.29,6,2456,2021-2022 Premier League,,18
Cristiano Ronaldo,Forwards,Standard,Interceptions,0.07,14,2456,2021-2022 Premier League,,18
Cristiano Ronaldo,Forwards,Standard,Blocks,0.29,1,2456,2021-2022 Premier League,,18
Cristiano Ronaldo,Forwards,Standard,Clearances,1.06,80,2456,2021-2022 Premier League,,18
Cristiano Ronaldo,Forwards,Standard,Aerials won,1.54,53,2456,2021-2022 Premier League,,18
Cristiano Ronaldo,Forwards,Standard,Non-Penalty Goals,0.89,87,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Non-Penalty xG,0.43,51,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Shots Total,3.25,73,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Assists,0,31,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,xAG,0.07,32,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,npxG + xAG,0.5,47,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Shot-Creating Actions,2.95,59,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Passes Attempted,30.84,72,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Pass Completion %,85.6,97,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Progressive Passes,2.07,61,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Dribbles Completed,1.33,63,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Touches (Att Pen),4.13,39,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Progressive Passes Rec,6.93,68,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Tackles,0.44,39,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Interceptions,0,16,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Blocks,0.89,72,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Clearances,1.03,80,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Aerials won,1.18,51,610,2021-2022 Champions League,,6
Cristiano Ronaldo,Forwards,Standard,Non-Penalty Goals,0.5,68,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty xG,0.63,88,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Shots Total,3,67,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Assists,0.25,78,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,xAG,0.35,92,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,npxG + xAG,0.98,95,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Shot-Creating Actions,2.25,52,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Passes Attempted,33.75,88,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Pass Completion %,81.5,88,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes,2.5,95,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Dribbles Completed,2,85,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Touches (Att Pen),5.25,68,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes Rec,6.75,82,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Tackles,0.5,55,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Interceptions,0,23,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Blocks,0.25,25,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Clearances,0.5,45,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Aerials won,2.75,72,360,2021 European Championship,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty Goals,0.32,52,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty xG,0.46,63,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Shots Total,3.32,86,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Assists,0.32,86,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,xAG,0.13,54,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,npxG + xAG,0.57,52,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Shot-Creating Actions,3.95,89,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Passes Attempted,35.59,75,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Pass Completion %,77.3,71,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes,1.74,54,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Dribbles Completed,1.58,66,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Touches (Att Pen),6.01,75,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes Rec,7.59,78,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Tackles,0,8,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Interceptions,0.32,45,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Blocks,0.16,2,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Clearances,0.79,70,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Aerials won,0.63,28,569,2020-2021 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty Goals,0.74,98,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty xG,0.69,95,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Shots Total,5.14,98,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Assists,0.1,33,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,xAG,0.12,48,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,npxG + xAG,0.81,95,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Shot-Creating Actions,3.92,83,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Passes Attempted,34.63,80,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Pass Completion %,77.7,82,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes,2.38,77,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Dribbles Completed,1.86,83,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Touches (Att Pen),6.2,83,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes Rec,6.78,68,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Tackles,0.19,5,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Interceptions,0.16,30,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Blocks,0.35,14,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Clearances,0.48,42,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Aerials won,0.67,18,2802,2020-2021 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty Goals,0.38,53,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty xG,0.46,57,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Shots Total,4.94,96,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Assists,0,22,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,xAG,0.06,24,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,npxG + xAG,0.52,41,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Shot-Creating Actions,3.54,63,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Passes Attempted,38.61,80,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Pass Completion %,81,90,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes,1.9,59,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Dribbles Completed,1.77,67,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Touches (Att Pen),5.57,66,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes Rec,7.85,79,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Tackles,0.13,9,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Interceptions,0.51,69,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Blocks,0.13,11,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Clearances,0.51,54,711,2019-2020 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Aerials won,1.01,41,711,2019-2020 Champions League,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Non-Penalty Goals,0.59,97,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Non-Penalty xG,0.57,99,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Shots Total,6.02,99,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Assists,0.15,45,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,xAG,0.2,51,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,npxG + xAG,0.76,99,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Shot-Creating Actions,4.57,66,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Passes Attempted,39.09,46,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Pass Completion %,83,92,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Progressive Passes,1.97,24,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Dribbles Completed,1.64,46,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Touches (Att Pen),6.54,99,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Progressive Passes Rec,8.27,96,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Tackles,0.43,6,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Interceptions,0.19,10,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Blocks,0.31,8,2917,2019-2020 Serie A,,
