"Player","Versus","StatGroup","Statistic","Per90","Percentile","BasedOnMinutes","scouting_period"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shot-Creating Actions",6.26,95,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Passes Attempted",43.13,64,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Pass Completion %",83.4,86,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes",3.08,73,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Dribbles Completed",3.18,92,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Touches (Att Pen)",7.63,95,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes Rec",9,95,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Tackles",1.54,64,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Interceptions",0.2,6,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Blocks",0.84,40,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Clearances",0.2,12,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Aerials won",0.1,5,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty Goals",0.3,58,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty xG",0.31,71,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shots Total",2.04,54,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Assists",0.45,87,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","xAG",0.24,64,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","npxG + xAG",0.55,65,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shot-Creating Actions",4.07,73,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Passes Attempted",33.95,38,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Pass Completion %",81.3,76,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes",1.89,28,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Dribbles Completed",2.41,77,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Touches (Att Pen)",7.39,91,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes Rec",7.39,76,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Tackles",1.58,61,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Interceptions",0.15,20,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Blocks",0.75,36,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Clearances",0.08,31,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Aerials won",0.08,17,1193,"2021-2022 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty Goals",0.43,83,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty xG",0.35,76,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shots Total",2.41,61,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Assists",0.14,39,634,"2020-2021 Champions League"
